ds,y,yhat,yhat_upper
2024-12-28,46936,123994.89916914067,169104.93121911655
2024-11-15,44311,95239.52361989793,140221.63903675938
2024-11-26,43239,148347.5568410353,194731.49771859622
2024-11-25,42348,145171.1023968013,190658.54899610917
2024-11-30,41481,158129.3764119366,201325.48532073933
2024-12-29,40620,122237.63981818855,169846.12497259962
2024-11-17,40427,113116.17971552942,162197.89494643055
2024-12-25,40423,129286.42860037877,175325.20213174785
2024-12-27,39879,121252.8879421885,169445.45444245843
2024-11-29,39819,149891.3208000194,198791.23898372203
2024-12-26,38757,124928.30434468848,171083.66539561178
2024-11-22,37662,127760.31459583246,176805.45655292182
2024-12-01,37616,161669.4294920448,208394.70710672127
2024-12-30,37348,116406.0926883683,167829.87726641868
2024-11-27,36318,146398.51685500078,192846.31804346197
2024-11-23,35985,138088.94167111276,184852.74389080924
2024-11-18,35786,115849.10922571734,158685.99788599575
2024-12-18,35624,147403.09525243074,194422.0969022307
2024-11-12,35162,87567.34859731713,132850.50932518695
2024-12-07,35008,163756.6577125847,212303.23591835643
2024-12-02,34321,160919.96167306392,207871.49686021096
2024-11-24,34314,143767.01482802982,194623.09676950445
2024-12-31,34290,112593.45321759571,161670.98572734
2024-12-06,33935,157393.44557715088,203629.51679792916
2024-12-03,33494,161956.29257702088,212845.718986312
2024-12-24,32496,137235.1406176418,183744.1185790815
2024-12-04,32433,157905.9500722686,203118.37449784335
2024-11-10,32297,81468.30293629739,127363.63191343
2024-12-05,32164,157353.80676893945,202430.45382971616
2024-11-28,31746,147887.54064109357,195309.22339544905
2024-11-13,31693,87188.92729842449,138751.87560504585
2024-12-23,31660,140194.58629851823,187595.58628555515
2024-12-11,31613,157012.95975603926,203733.5207615108
2024-11-21,31575,123747.52076728524,169391.47530152806
2024-11-19,31475,120576.43494782507,168846.0925983247
2024-12-22,30987,145044.81457685636,193643.1599043822
2024-12-08,30936,165518.78334473172,208870.2903307543
2024-11-20,30599,120366.49787376897,170847.82142057305
2024-12-10,30061,162548.61579266674,207799.5704374995
2024-12-09,29881,163091.38889180313,209255.70432286887
2024-12-17,29804,154099.12584095006,203731.90847970976
2024-12-19,29604,144285.1661007717,191803.52166477017
2024-12-12,29584,155060.93943432323,199525.5345158572
2024-11-14,29509,90736.88788779934,137073.49372584614
2024-11-11,29317,83350.10357737665,130458.79190757801
2024-12-21,28739,145719.51934603188,191301.72391054034
2024-12-20,28028,141819.46506987492,188872.93224231157
2024-12-16,27544,155807.75551674288,203302.6611315216
2024-12-15,27108,159419.44599499874,206079.8969796286
2024-12-13,26970,153775.09821100562,200079.6537947663
2024-12-14,26663,158874.22021073103,205958.5475937955
